ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Age of Structure,Floor of house,Number of floors,Heating,Credi Accepting
15140712,"1,850,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,Özgürlük Mahallesi Satılık Daire,93 M2,2+1,0 (Yeni),4,Bahçe Dublex,Merkezi Doğalgaz,Krediye Uygun
15128424,"2,300,000",Kocaeli Satılık Daire,Körfez Satılık Daire,İlimtepe Mahallesi Satılık Daire,135 M2,3+1,11-15,5,2.Kat,Kombi Doğalgaz,Krediye Uygun
15127851,"5,450,000",Kocaeli Satılık Daire,Körfez Satılık Daire,Yavuz Sultan Selim Mahallesi Satılık Daire,225 M2,5+2,5-10,4,1.Kat,Kombi Doğalgaz,Krediye Uygun
15130341,"2,500,000",Kocaeli Satılık Daire,Başiskele Satılık Daire,Serdar Mahallesi Satılık Daire,110 M2,2+1,0 (Yeni),3,2.Kat,Yerden Isıtma,Krediye Uygun
15130990,"3,390,000",Kocaeli Satılık Daire,Kartepe Satılık Daire,Arslanbey Mahallesi Satılık Daire,180 M2,4+1,5-10,5,4.Kat,Kombi Doğalgaz,Krediye Uygun
15132874,"1,950,000",Kocaeli Satılık Daire,Darıca Satılık Daire,Kazım Karabekir Mahallesi Satılık Daire,95 M2,2+1,5-10,3,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15132789,"2,290,000",Kocaeli Satılık Daire,Başiskele Satılık Daire,Fatih Mahallesi Satılık Daire,120 M2,2+1,3,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15131521,"2,750,000",Kocaeli Satılık Daire,Gebze Satılık Daire,Arapçeşme Mahallesi Satılık Daire,100 M2,2+1,0 (Yeni),4,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15133115,"2,750,000",Kocaeli Satılık Daire,Derince Satılık Daire,Sırrıpaşa Mahallesi Satılık Daire,92 M2,2+1,0 (Yeni),4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15133056,"3,500,000",Kocaeli Satılık Daire,Derince Satılık Daire,Sırrıpaşa Mahallesi Satılık Daire,167 M2,3+1,0 (Yeni),4,4.Kat,Kombi Doğalgaz,Krediye Uygun
15133142,"2,950,000",Kocaeli Satılık Daire,Kartepe Satılık Daire,Derbent Mahallesi Satılık Daire,140 M2,2+1,5-10,3,Çatı Dubleks,Kombi Doğalgaz,Krediye Uygun
15126613,"1,870,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,Özgürlük Mahallesi Satılık Daire,110 M2,2+1,5-10,4,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun
15115997,"3,950,000",Kocaeli Satılık Daire,Kartepe Satılık Daire,Fatih Sultan Mehmet Mahallesi Satılık Daire,150 M2,3+1,0 (Yeni),3,Bahçe Katı,Yerden Isıtma,Krediye Uygun
15132953,"3,750,000",Kocaeli Satılık Daire,Derince Satılık Daire,Sırrıpaşa Mahallesi Satılık Daire,173 M2,4+1,0 (Yeni),4,4.Kat,Kombi Doğalgaz,Krediye Uygun
15116333,"1,650,000",Kocaeli Satılık Daire,İzmit Satılık Daire,28 Haziran Mahallesi Satılık Daire,85 M2,2+1,5-10,5,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun
15116834,"1,865,000",Kocaeli Satılık Daire,Darıca Satılık Daire,Abdi İpekçi Mahallesi Satılık Daire,78 M2,2+1,5-10,4,2.Kat,Kombi Doğalgaz,Krediye Uygun Değil
15144231,"3,340,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,Atatürk Mahallesi Satılık Daire,220 M2,4+1,0 (Yeni),4,4.Kat,Kombi Doğalgaz,Krediye Uygun
15143927,"2,600,000",Kocaeli Satılık Daire,Kartepe Satılık Daire,Fatih Sultan Mehmet Mahallesi Satılık Daire,90 M2,2+1,0 (Yeni),3,1.Kat,Kombi Doğalgaz,Krediye Uygun
15117449,"4,250,000",Kocaeli Satılık Daire,Kandıra Satılık Daire,Cebeci Mahallesi Satılık Daire,100 M2,2+1,1,4,3.Kat,Yerden Isıtma,Krediye Uygun
15117343,"1,850,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,Özgürlük Mahallesi Satılık Daire,100 M2,2+1,0 (Yeni),4,Bahçe Dublex,Kombi Doğalgaz,Krediye Uygun
15117823,"3,440,000",Kocaeli Satılık Daire,Kartepe Satılık Daire,Fatih Sultan Mehmet Mahallesi Satılık Daire,121 M2,3+1,1,4,2.Kat,Yerden Isıtma,Krediye Uygun
15118114,"2,950,000",Kocaeli Satılık Daire,Kartepe Satılık Daire,Fatih Sultan Mehmet Mahallesi Satılık Daire,139 M2,2+1,1,3,3.Kat,Kombi Doğalgaz,Krediye Uygun
15117419,"2,250,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,Yeni Mahallesi Satılık Daire,130 M2,2+1,5-10,4,4.Kat,Kombi Doğalgaz,Krediye Uygun
15117347,"3,950,000",Kocaeli Satılık Daire,Kartepe Satılık Daire,Fatih Sultan Mehmet Mahallesi Satılık Daire,154 M2,3+1,1,4,3.Kat,Yerden Isıtma,Krediye Uygun
15118490,"2,700,000",Kocaeli Satılık Daire,Gebze Satılık Daire,Köşklü Çeşme Mahallesi Satılık Daire,125 M2,3+1,21 Ve Üzeri,9,4.Kat,Kombi Doğalgaz,Krediye Uygun
15118580,"2,450,000",Kocaeli Satılık Daire,Gebze Satılık Daire,Barış Mahallesi Satılık Daire,95 M2,2+1,5-10,6,1.Kat,Kombi Doğalgaz,Krediye Uygun
15118646,"9,500,000",Kocaeli Satılık Daire,Gebze Satılık Daire,Osman Yılmaz Mahallesi Satılık Daire,200 M2,3+1,16-20,6,2.Kat,Kombi Doğalgaz,Krediye Uygun
15117781,"2,200,000",Kocaeli Satılık Daire,Gebze Satılık Daire,Köşklü Çeşme Mahallesi Satılık Daire,125 M2,3+1,21 Ve Üzeri,9,3.Kat,Kombi Doğalgaz,Krediye Uygun
15119011,"2,875,000",Kocaeli Satılık Daire,Körfez Satılık Daire,Güney Mahallesi Satılık Daire,106 M2,2+1,0 (Yeni),3,1.Kat,Yerden Isıtma,Krediye Uygun
15119024,"2,650,000",Kocaeli Satılık Daire,Derince Satılık Daire,Yavuz Sultan Mahallesi Satılık Daire,140 M2,3+1,5-10,7,3.Kat,Kombi Doğalgaz,Krediye Uygun
15110284,"2,225,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,Özgürlük Mahallesi Satılık Daire,110 M2,2+1,0 (Yeni),5,3.Kat,Kombi Doğalgaz,Krediye Uygun
15110285,"2,400,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,Atatürk Mahallesi Satılık Daire,110 M2,2+1,1,4,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15110506,"2,425,000",Kocaeli Satılık Daire,İzmit Satılık Daire,Alikahya Fatih Mahallesi Satılık Daire,85 M2,2+1,11-15,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15119330,"2,650,000",Kocaeli Satılık Daire,İzmit Satılık Daire,Alikahya Atatürk Mahallesi Satılık Daire,120 M2,3+1,2,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15119284,"3,750,000",Kocaeli Satılık Daire,Körfez Satılık Daire,Güney Mahallesi Satılık Daire,140 M2,3+1,0 (Yeni),3,3.Kat,Yerden Isıtma,Krediye Uygun
15112312,"2,750,000",Kocaeli Satılık Daire,Darıca Satılık Daire,Bağlarbaşı Mahallesi Satılık Daire,120 M2,3+1,5-10,3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15112304,"3,500,000",Kocaeli Satılık Daire,Darıca Satılık Daire,Kazım Karabekir Mahallesi Satılık Daire,120 M2,2+1,0 (Yeni),3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15112733,"2,500,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,Yeni Mahallesi Satılık Daire,100 M2,2+1,4,4,2.Kat,Kombi Doğalgaz,Krediye Uygun Değil
15139839,"3,625,000",Kocaeli Satılık Daire,Kartepe Satılık Daire,Ataevler Mahallesi Satılık Daire,162 M2,3+1,1,3,Çatı Dubleks,Kombi Doğalgaz,Krediye Uygun
15111418,"1,600,000",Kocaeli Satılık Daire,Gölcük Satılık Daire,Topçular Mahallesi Satılık Daire,120 M2,3+1,11-15,6,1.Kat,Kombi Doğalgaz,Krediye Uygun
15113251,"900,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,Çayırova Mahallesi Satılık Daire,40 M2,1+1,11-15,4,Kot 1 (-1).Kat,Sobalı,Krediye Uygun Değil
15113250,"2,780,000",Kocaeli Satılık Daire,Darıca Satılık Daire,Emek Mahallesi Satılık Daire,105 M2,2+1,0 (Yeni),3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15113261,"8,500,000",Kocaeli Satılık Daire,Darıca Satılık Daire,Fevzi Çakmak Mahallesi Satılık Daire,175 M2,3+1,0 (Yeni),3,3.Kat,Kombi Doğalgaz,Krediye Uygun
15113262,"2,760,000",Kocaeli Satılık Daire,Darıca Satılık Daire,Abdi İpekçi Mahallesi Satılık Daire,90 M2,2+1,0 (Yeni),3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15112741,"4,150,000",Kocaeli Satılık Daire,Darıca Satılık Daire,Osman Gazi Mahallesi Satılık Daire,200 M2,5+1,0 (Yeni),3,3.Kat,Kombi Doğalgaz,Krediye Uygun Değil
15132780,"2,750,000",Kocaeli Satılık Daire,Gölcük Satılık Daire,Yukarı Mahallesi Satılık Daire,113 M2,3+1,4,3,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun
15113265,"3,485,000",Kocaeli Satılık Daire,Darıca Satılık Daire,Emek Mahallesi Satılık Daire,100 M2,2+1,0 (Yeni),3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15113260,"3,520,000",Kocaeli Satılık Daire,Darıca Satılık Daire,Abdi İpekçi Mahallesi Satılık Daire,170 M2,3+1,0 (Yeni),3,3.Kat,Kombi Doğalgaz,Krediye Uygun
15130927,"2,250,000",Kocaeli Satılık Daire,Gölcük Satılık Daire,Körfez Mahallesi Satılık Daire,100 M2,2+1,21 Ve Üzeri,4,4.Kat,Kombi Doğalgaz,Krediye Uygun
15110281,"2,300,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,Özgürlük Mahallesi Satılık Daire,140 M2,2+1,5-10,4,4.Kat,Kombi Doğalgaz,Krediye Uygun
15113284,"1,500,000",Kocaeli Satılık Daire,Karamürsel Satılık Daire,Tepeköy Mahallesi Satılık Daire,90 M2,2+1,21 Ve Üzeri,6,6.Kat,Kombi Doğalgaz,Bilinmiyor
15099617,"6,650,000",Kocaeli Satılık Daire,Darıca Satılık Daire,Bayramoğlu Mahallesi Satılık Daire,130 M2,3+1,21 Ve Üzeri,3,Kot 3 (-3).Kat,Kombi Doğalgaz,Krediye Uygun
15099864,"1,645,000",Kocaeli Satılık Daire,Gölcük Satılık Daire,Şirinköy Mahallesi Satılık Daire,100 M2,2+1,16-20,3,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15099980,"2,400,000",Kocaeli Satılık Daire,Gebze Satılık Daire,Arapçeşme Mahallesi Satılık Daire,90 M2,2+1,4,5,2.Kat,Kombi Doğalgaz,Krediye Uygun
15101408,"3,450,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,İnönü Mahallesi Satılık Daire,180 M2,4+1,5-10,4,4.Kat,Kombi Doğalgaz,Krediye Uygun
15100557,"3,000,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,Emek Mahallesi Satılık Daire,95 M2,2+1,0 (Yeni),4,1.Kat,Kombi Doğalgaz,Krediye Uygun
15103175,"4,190,000",Kocaeli Satılık Daire,Darıca Satılık Daire,Kazım Karabekir Mahallesi Satılık Daire,210 M2,4+1,0 (Yeni),3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15101414,"2,270,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,İnönü Mahallesi Satılık Daire,120 M2,2+1,0 (Yeni),4,Bahçe Dublex,Kombi Doğalgaz,Krediye Uygun
15102724,"2,750,000",Kocaeli Satılık Daire,Körfez Satılık Daire,Atalar Mahallesi Satılık Daire,95 M2,2+1,11-15,3,1.Kat,Kombi Doğalgaz,Krediye Uygun
15101398,"2,280,000",Kocaeli Satılık Daire,Gebze Satılık Daire,Tatlıkuyu Mahallesi Satılık Daire,120 M2,3+1,5-10,5,Bodrum Kat,Kombi Doğalgaz,Krediye Uygun
15103231,"3,800,000",Kocaeli Satılık Daire,Gölcük Satılık Daire,Topçular Mahallesi Satılık Daire,181 M2,3+1,5-10,3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15106251,"1,335,000",Kocaeli Satılık Daire,Gebze Satılık Daire,Cumhuriyet Mahallesi Satılık Daire,140 M2,3+1,21 Ve Üzeri,2,1.Kat,Doğalgaz Sobalı,Krediye Uygun
15106253,"1,780,000",Kocaeli Satılık Daire,Darıca Satılık Daire,Piri Reis Mahallesi Satılık Daire,110 M2,2+1,4,3,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun Değil
15103872,"3,500,000",Kocaeli Satılık Daire,Başiskele Satılık Daire,Yeniköy Merkez Mahallesi Satılık Daire,180 M2,4+1,5-10,2,Müstakil,Yerden Isıtma,Krediye Uygun
15105911,"2,625,000",Kocaeli Satılık Daire,Başiskele Satılık Daire,Altınkent Mahallesi Satılık Daire,130 M2,3+1,5-10,4,4.Kat,Kombi Doğalgaz,Krediye Uygun
15090867,"3,950,000",Kocaeli Satılık Daire,Gölcük Satılık Daire,Çiftlik Mahallesi Satılık Daire,106 M2,1+1,0 (Yeni),3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15091059,"2,800,000",Kocaeli Satılık Daire,Gebze Satılık Daire,Mevlana Mahallesi Satılık Daire,95 M2,2+1,5-10,4,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15091087,"2,400,000",Kocaeli Satılık Daire,Gebze Satılık Daire,Mevlana Mahallesi Satılık Daire,95 M2,2+1,5-10,4,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun
15091089,"4,300,000",Kocaeli Satılık Daire,Gölcük Satılık Daire,Çiftlik Mahallesi Satılık Daire,114 M2,2+1,0 (Yeni),3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15090988,"3,650,000",Kocaeli Satılık Daire,Gölcük Satılık Daire,Çiftlik Mahallesi Satılık Daire,98 M2,1+1,0 (Yeni),3,Çatı Katı,Kombi Doğalgaz,Krediye Uygun
15112323,"3,280,000",Kocaeli Satılık Daire,Darıca Satılık Daire,Abdi İpekçi Mahallesi Satılık Daire,140 M2,3+1,0 (Yeni),3,3.Kat,Kombi Doğalgaz,Krediye Uygun
15092629,"1,800,000",Kocaeli Satılık Daire,İzmit Satılık Daire,Yeni Mahallesi Satılık Daire,135 M2,3+1,21 Ve Üzeri,4,3.Kat,Kombi Doğalgaz,Krediye Uygun
15091702,"3,950,000",Kocaeli Satılık Daire,Başiskele Satılık Daire,Serdar Mahallesi Satılık Daire,160 M2,3+1,5-10,3,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15099927,"2,270,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,İnönü Mahallesi Satılık Daire,105 M2,2+1,0 (Yeni),4,Çatı Dubleks,Kombi Doğalgaz,Krediye Uygun
15093320,"1,950,000",Kocaeli Satılık Daire,İzmit Satılık Daire,Akçakoca Mahallesi Satılık Daire,95 M2,2+1,21 Ve Üzeri,6,2.Kat,Doğalgaz Sobalı,Krediye Uygun
15090781,"1,650,000",Kocaeli Satılık Daire,Gölcük Satılık Daire,Piyalepaşa Mahallesi Satılık Daire,65 M2,1+1,0 (Yeni),5,2.Kat,Kombi Doğalgaz,Krediye Uygun
