ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Age of Structure,Floor of house,Number of floors,Heating,Credi Accepting
15142494,"5,000,000",İzmir Satılık Daire,Gaziemir Satılık Daire,Gazi Mahallesi Satılık Daire,90 M2,2+1,11-15,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
14789420,"2,000,000",İzmir Satılık Daire,Menemen Satılık Daire,Uğur Mumcu Mahallesi Satılık Daire,110 M2,2+1,0 (Yeni),9,2.Kat,Kombi Doğalgaz,Krediye Uygun
15177464,"5,400,000",İzmir Satılık Daire,Çiğli Satılık Daire,Balatçık Mahallesi Satılık Daire,77 M2,2+1,0 (Yeni),6,2.Kat,Merkezi Doğalgaz,Krediye Uygun Değil
15177549,"25,000,000",İzmir Satılık Daire,Balçova Satılık Daire,Korutürk Mahallesi Satılık Daire,247 M2,4+1,0 (Yeni),3,Müstakil,Yerden Isıtma,Krediye Uygun
15177590,"1,800,000",İzmir Satılık Daire,Bornova Satılık Daire,Mevlana Mahallesi Satılık Daire,60 M2,1+1,5-10,4,2.Kat,Klimalı,Krediye Uygun
15177811,"2,585,000",İzmir Satılık Daire,Torbalı Satılık Daire,Yedi Eylül Mahallesi Satılık Daire,140 M2,3+1,0 (Yeni),4,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15177638,"3,750,000",İzmir Satılık Daire,Buca Satılık Daire,Çamlıkule Mahallesi Satılık Daire,120 M2,2+1,5-10,10,6.Kat,Kombi Doğalgaz,Krediye Uygun
11373448,"2,650,000",İzmir Satılık Daire,Dikili Satılık Daire,İsmetpaşa Mahallesi Satılık Daire,95 M2,2+1,21 Ve Üzeri,4,3.Kat,Isıtma Yok,Krediye Uygun
12420745,"2,600,000",İzmir Satılık Daire,Torbalı Satılık Daire,Ayrancılar Mahallesi Satılık Daire,120 M2,3+1,11-15,10,2.Kat,Kombi Doğalgaz,Krediye Uygun
12463213,"2,550,000",İzmir Satılık Daire,Karabağlar Satılık Daire,Esenlik Mahallesi Satılık Daire,140 M2,3+1,21 Ve Üzeri,7,5.Kat,Doğalgaz Sobalı,Krediye Uygun
13230168,"2,450,000",İzmir Satılık Daire,Kemalpaşa Satılık Daire,Armutlu Hürriyet Mahallesi Satılık Daire,81 M2,2+1,0 (Yeni),4,2.Kat,Kombi Doğalgaz,Krediye Uygun
13868052,"3,600,000",İzmir Satılık Daire,Gaziemir Satılık Daire,Gazi Mahallesi Satılık Daire,120 M2,3+1,21 Ve Üzeri,6,2.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
,,,,,,,,,,,
13924028,"9,500,000",İzmir Satılık Daire,Çiğli Satılık Daire,Sasallı Merkez Mahallesi Satılık Daire,138 M2,2+1,0 (Yeni),2,Bahçe Katı,Yerden Isıtma,Krediye Uygun Değil
13924041,"3,950,000",İzmir Satılık Daire,Çiğli Satılık Daire,Sasallı Merkez Mahallesi Satılık Daire,43 M2,1+1,0 (Yeni),2,2.Kat,Yerden Isıtma,Krediye Uygun Değil
,,,,,,,,,,,
15089486,"8,000,000",İzmir Satılık Daire,Çiğli Satılık Daire,Ataşehir Mahallesi Satılık Daire,200 M2,3+1,5-10,6,6.Kat,Kombi Doğalgaz,Krediye Uygun Değil
15089552,"3,500,000",İzmir Satılık Daire,Menemen Satılık Daire,İstiklal Mahallesi Satılık Daire,121 M2,2+1,0 (Yeni),9,6.Kat,Kombi Doğalgaz,Krediye Uygun
14158694,"3,100,000",İzmir Satılık Daire,Çiğli Satılık Daire,Küçük Çiğli Mahallesi Satılık Daire,135 M2,3+1,5-10,3,3.Kat,Kombi Doğalgaz,Krediye Uygun
14218122,"2,100,000",İzmir Satılık Daire,Karşıyaka Satılık Daire,Tuna Mahallesi Satılık Daire,75 M2,2+1,21 Ve Üzeri,4,4.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15177371,"2,800,000",İzmir Satılık Daire,Çiğli Satılık Daire,Balatçık Mahallesi Satılık Daire,43 M2,1+1,0 (Yeni),6,Bahçe Katı,Merkezi Doğalgaz,Krediye Uygun Değil
14484591,"7,750,000",İzmir Satılık Daire,Konak Satılık Daire,Kültür Mahallesi Satılık Daire,125 M2,2+1,21 Ve Üzeri,4,3.Kat,Klimalı,Krediye Uygun
14496240,"2,680,000",İzmir Satılık Daire,Dikili Satılık Daire,Çandarlı Mahallesi Satılık Daire,55 M2,1+1,4,2,Kot 2 (-2).Kat,Isıtma Yok,Krediye Uygun
,,,,,,,,,,,
13924050,"5,750,000",İzmir Satılık Daire,Çiğli Satılık Daire,Sasallı Merkez Mahallesi Satılık Daire,82 M2,2+1,0 (Yeni),2,2.Kat,Yerden Isıtma,Krediye Uygun Değil
14675607,"2,700,000",İzmir Satılık Daire,Balçova Satılık Daire,Korutürk Mahallesi Satılık Daire,120 M2,3+1,21 Ve Üzeri,3,2.Kat,Jeotermal,Krediye Uygun
14663491,"2,600,000",İzmir Satılık Daire,Konak Satılık Daire,Murat Reis Mahallesi Satılık Daire,110 M2,2+1,21 Ve Üzeri,6,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun
13158397,"2,725,000",İzmir Satılık Daire,Karabağlar Satılık Daire,Bahçelievler Mahallesi Satılık Daire,130 M2,3+1,21 Ve Üzeri,5,4.Kat,Kombi Doğalgaz,Krediye Uygun
14525111,"2,450,000",İzmir Satılık Daire,Kemalpaşa Satılık Daire,Ören 75.yıl Cumhuriyet Mahallesi Satılık Daire,145 M2,3+1,4,4,4.Kat,Klimalı,Krediye Uygun
15174080,"2,880,000",İzmir Satılık Daire,Menemen Satılık Daire,Cumhuriyet Mahallesi Satılık Daire,105 M2,2+1,0 (Yeni),4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15174703,"5,000,000",İzmir Satılık Daire,Karşıyaka Satılık Daire,Örnekköy Mahallesi Satılık Daire,130 M2,3+1,0 (Yeni),24,9.Kat,Kombi Doğalgaz,Krediye Uygun
14290814,"6,850,000",İzmir Satılık Daire,Çeşme Satılık Daire,İsmet İnönü Mahallesi Satılık Daire,75 M2,2+1,0 (Yeni),2,1.Kat,Klimalı,Krediye Uygun
14693547,"2,450,000",İzmir Satılık Daire,Çiğli Satılık Daire,Küçük Çiğli Mahallesi Satılık Daire,54 M2,1+1,0 (Yeni),8,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun
13923986,"11,250,000",İzmir Satılık Daire,Çiğli Satılık Daire,Sasallı Merkez Mahallesi Satılık Daire,158 M2,3+1,0 (Yeni),2,Bahçe Katı,Yerden Isıtma,Krediye Uygun Değil
14160452,"4,900,000",İzmir Satılık Daire,Tire Satılık Daire,İbni Melek Mahallesi Satılık Daire,175 M2,4+1,5-10,4,1.Kat,Kombi Doğalgaz,Krediye Uygun
15174879,"1,600,000",İzmir Satılık Daire,Konak Satılık Daire,Güneşli Mahallesi Satılık Daire,70 M2,1+1,5-10,4,Kot 4 (-4).Kat,Doğalgaz Sobalı,Krediye Uygun
,,,,,,,,,,,
15174704,"6,700,000",İzmir Satılık Daire,Menderes Satılık Daire,Cüneytbey Mahallesi Satılık Daire,175 M2,4+1,0 (Yeni),3,2.Kat,Kombi Doğalgaz,Krediye Uygun
14184749,"6,200,000",İzmir Satılık Daire,Konak Satılık Daire,Mimar Sinan Mahallesi Satılık Daire,180 M2,3+1,21 Ve Üzeri,6,4.Kat,Kombi Doğalgaz,Krediye Uygun
15175341,"3,175,000",İzmir Satılık Daire,Balçova Satılık Daire,Onur Mahallesi Satılık Daire,52 M2,1+1,4,3,3.Kat,Jeotermal,Krediye Uygun
15175624,"2,500,000",İzmir Satılık Daire,Menemen Satılık Daire,85. Yıl Cumhuriyet Mahallesi Satılık Daire,90 M2,2+1,1,4,Bahçe Dublex,Kombi Doğalgaz,Krediye Uygun
15173508,"1,895,000",İzmir Satılık Daire,Buca Satılık Daire,Cumhuriyet Mahallesi Satılık Daire,85 M2,2+1,21 Ve Üzeri,4,4.Kat,Kombi Doğalgaz,Krediye Uygun
15170560,"3,950,000",İzmir Satılık Daire,Buca Satılık Daire,Adatepe Mahallesi Satılık Daire,135 M2,3+1,11-15,4,3.Kat,Kombi Doğalgaz,Krediye Uygun
15170667,"2,850,000",İzmir Satılık Daire,Torbalı Satılık Daire,Torbalı Mahallesi Satılık Daire,110 M2,2+1,3,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15170996,"1,600,000",İzmir Satılık Daire,Menemen Satılık Daire,85. Yıl Cumhuriyet Mahallesi Satılık Daire,60 M2,1+1,0 (Yeni),4,1.Kat,Kombi Doğalgaz,Krediye Uygun
15171047,"2,350,000",İzmir Satılık Daire,Konak Satılık Daire,Murat Reis Mahallesi Satılık Daire,100 M2,2+1,21 Ve Üzeri,4,3.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15171771,"3,100,000",İzmir Satılık Daire,Buca Satılık Daire,İnönü Mahallesi Satılık Daire,170 M2,4+1,5-10,3,3.Kat,Kombi Doğalgaz,Krediye Uygun Değil
15171773,"3,700,000",İzmir Satılık Daire,Buca Satılık Daire,Çamlıkule Mahallesi Satılık Daire,150 M2,3+1,16-20,8,3.Kat,Kombi Doğalgaz,Krediye Uygun Değil
15174897,"3,990,000",İzmir Satılık Daire,Balçova Satılık Daire,Eğitim Mahallesi Satılık Daire,125 M2,3+1,21 Ve Üzeri,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15171855,"1,850,000",İzmir Satılık Daire,Torbalı Satılık Daire,Torbalı Mahallesi Satılık Daire,130 M2,3+1,16-20,6,5.Kat,Kombi Doğalgaz,Krediye Uygun
15171875,"3,950,000",İzmir Satılık Daire,Konak Satılık Daire,Mithatpaşa Mahallesi Satılık Daire,140 M2,3+1,21 Ve Üzeri,6,3.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15171786,"5,000,000",İzmir Satılık Daire,Narlıdere Satılık Daire,Ilıca Mahallesi Satılık Daire,135 M2,2+1,11-15,5,3.Kat,Jeotermal,Krediye Uygun
15170445,"4,700,000",İzmir Satılık Daire,Foça Satılık Daire,Mustafa Kemal Atatürk Mahallesi Satılık Daire,70 M2,2+1,0 (Yeni),3,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun
15171939,"1,850,000",İzmir Satılık Daire,Torbalı Satılık Daire,Torbalı Mahallesi Satılık Daire,130 M2,3+1,11-15,7,6.Kat,Kombi Doğalgaz,Krediye Uygun
15170521,"3,725,000",İzmir Satılık Daire,Konak Satılık Daire,Göztepe Mahallesi Satılık Daire,80 M2,2+1,21 Ve Üzeri,3,1.Kat,Klimalı,Bilinmiyor
15167634,"2,500,000",İzmir Satılık Daire,Karabağlar Satılık Daire,Karabağlar Mahallesi Satılık Daire,85 M2,2+1,5-10,3,1.Kat,Kombi Doğalgaz,Krediye Uygun
15168311,"4,750,000",İzmir Satılık Daire,Karabağlar Satılık Daire,Refet Bele Mahallesi Satılık Daire,120 M2,3+1,5-10,4,4.Kat,Kombi Doğalgaz,Krediye Uygun
15168313,"3,850,000",İzmir Satılık Daire,Dikili Satılık Daire,Çandarlı Mahallesi Satılık Daire,75 M2,2+1,0 (Yeni),3,3.Kat,Kombi Doğalgaz,Krediye Uygun
15174935,"6,150,000",İzmir Satılık Daire,Konak Satılık Daire,Mehmet Ali Akman Mahallesi Satılık Daire,185 M2,4+1,21 Ve Üzeri,8,7.Kat,Merkezi Doğalgaz,Krediye Uygun
15168606,"5,200,000",İzmir Satılık Daire,Karşıyaka Satılık Daire,Yalı Mahallesi Satılık Daire,125 M2,3+1,16-20,5,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
,,,,,,,,,,,
15168875,"3,000,000",İzmir Satılık Daire,Seferihisar Satılık Daire,Çolak İbrahim Bey Mahallesi Satılık Daire,85 M2,2+1,0 (Yeni),4,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15169114,"4,250,000",İzmir Satılık Daire,Kemalpaşa Satılık Daire,Ulucak Mustafa Kemal Atatürk Mahallesi Satılık Daire,145 M2,3+1,0 (Yeni),5,2.Kat,Kombi Doğalgaz,Krediye Uygun
15168379,"1,675,000",İzmir Satılık Daire,Torbalı Satılık Daire,Ayrancılar Mahallesi Satılık Daire,80 M2,2+1,5-10,3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15168905,"2,700,000",İzmir Satılık Daire,Bayraklı Satılık Daire,Postacılar Mahallesi Satılık Daire,125 M2,3+1,21 Ve Üzeri,7,3.Kat,Kombi Doğalgaz,Krediye Uygun
15174238,"4,180,000",İzmir Satılık Daire,Bayraklı Satılık Daire,Soğukkuyu Mahallesi Satılık Daire,120 M2,3+1,21 Ve Üzeri,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15169533,"2,250,000",İzmir Satılık Daire,Bornova Satılık Daire,Kızılay Mahallesi Satılık Daire,60 M2,1+1,0 (Yeni),2,2.Kat,Isıtma Yok,Krediye Uygun
15169280,"1,425,000",İzmir Satılık Daire,Dikili Satılık Daire,Gazipaşa Mahallesi Satılık Daire,35 M2,Stüdyo,11-15,5,Yüksek Giriş,Isıtma Yok,Krediye Uygun
15168662,"5,500,000",İzmir Satılık Daire,Menderes Satılık Daire,Kasımpaşa Mahallesi Satılık Daire,140 M2,3+1,5-10,4,4.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
,,,,,,,,,,,
15169248,"2,100,000",İzmir Satılık Daire,Torbalı Satılık Daire,Fevzi Çakmak Mahallesi Satılık Daire,95 M2,2+1,3,3,3.Kat,Sobalı,Krediye Uygun
15165127,"3,900,000",İzmir Satılık Daire,Karşıyaka Satılık Daire,Şemikler Mahallesi Satılık Daire,125 M2,3+1,5-10,5,2.Kat,Kombi Doğalgaz,Krediye Uygun
15168603,"6,500,000",İzmir Satılık Daire,Karşıyaka Satılık Daire,Şemikler Mahallesi Satılık Daire,180 M2,4+1,5-10,4,4.Kat,Yerden Isıtma,Krediye Uygun
15165145,"3,375,000",İzmir Satılık Daire,Konak Satılık Daire,Murat Reis Mahallesi Satılık Daire,125 M2,3+1,21 Ve Üzeri,4,3.Kat,Kombi Doğalgaz,Krediye Uygun
15168084,"3,250,000",İzmir Satılık Daire,Konak Satılık Daire,Güzelyalı Mahallesi Satılık Daire,80 M2,2+1,21 Ve Üzeri,5,2.Kat,Isıtma Yok,Krediye Uygun
15165511,"2,585,000",İzmir Satılık Daire,Seferihisar Satılık Daire,Turabiye Mahallesi Satılık Daire,80 M2,2+1,3,4,4.Kat,Kombi Doğalgaz,Bilinmiyor
15165569,"3,500,000",İzmir Satılık Daire,Balçova Satılık Daire,Onur Mahallesi Satılık Daire,135 M2,3+1,21 Ve Üzeri,3,3.Kat,Jeotermal,Krediye Uygun
15165555,"3,715,000",İzmir Satılık Daire,Menderes Satılık Daire,Kemalpaşa Mahallesi Satılık Daire,170 M2,2+1,2,3,Çatı Dubleks,Kombi Doğalgaz,Krediye Uygun
15165515,"2,695,000",İzmir Satılık Daire,Buca Satılık Daire,Yaylacık Mahallesi Satılık Daire,117 M2,2+1,16-20,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15165280,"6,350,000",İzmir Satılık Daire,Karşıyaka Satılık Daire,Bahçelievler Mahallesi Satılık Daire,160 M2,3+1,4,5,5.Kat,Kombi Doğalgaz,Krediye Uygun
15165483,"3,500,000",İzmir Satılık Daire,Balçova Satılık Daire,Çetin Emeç Mahallesi Satılık Daire,60 M2,1+1,5-10,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15165174,"3,890,000",İzmir Satılık Daire,Konak Satılık Daire,Göztepe Mahallesi Satılık Daire,95 M2,2+1,21 Ve Üzeri,8,1.Kat,Merkezi Doğalgaz,Krediye Uygun
15165377,"4,000,000",İzmir Satılık Daire,Konak Satılık Daire,Kahramanlar Mahallesi Satılık Daire,120 M2,2+1,21 Ve Üzeri,4,1.Kat,Kombi Doğalgaz,Krediye Uygun
15161013,"2,300,000",İzmir Satılık Daire,Konak Satılık Daire,Çankaya Mahallesi Satılık Daire,99 M2,2+1,21 Ve Üzeri,5,2.Kat,Klimalı,Krediye Uygun
15161154,"2,350,000",İzmir Satılık Daire,Torbalı Satılık Daire,Tepeköy Mahallesi Satılık Daire,135 M2,3+1,11-15,5,4.Kat,Kombi Doğalgaz,Krediye Uygun
15161399,"2,100,000",İzmir Satılık Daire,Konak Satılık Daire,Kılıç Reis Mahallesi Satılık Daire,100 M2,2+1,21 Ve Üzeri,3,3.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
,,,,,,,,,,,
15165741,"2,475,000",İzmir Satılık Daire,Menemen Satılık Daire,Atatürk Mahallesi Satılık Daire,124 M2,3+1,1,10,1.Kat,Kombi Doğalgaz,Krediye Uygun
15164871,"3,000,000",İzmir Satılık Daire,Karabağlar Satılık Daire,Muammer Akar Mahallesi Satılık Daire,110 M2,3+1,21 Ve Üzeri,6,Yüksek Giriş,Isıtma Yok,Krediye Uygun Değil
15157823,"3,400,000",İzmir Satılık Daire,Bornova Satılık Daire,Erzene Mahallesi Satılık Daire,140 M2,3+1,5-10,3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15160771,"6,450,000",İzmir Satılık Daire,Menemen Satılık Daire,Uğur Mumcu Mahallesi Satılık Daire,320 M2,5+1,5-10,4,4.Kat,Kombi Doğalgaz,Krediye Uygun Değil
15157892,"3,040,000",İzmir Satılık Daire,Aliağa Satılık Daire,Fatih Mahallesi Satılık Daire,125 M2,3.5+1,0 (Yeni),3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15157808,"2,600,000",İzmir Satılık Daire,Buca Satılık Daire,Kuruçeşme Mahallesi Satılık Daire,50 M2,1+1,0 (Yeni),10,3.Kat,Yerden Isıtma,Krediye Uygun
15157911,"2,745,000",İzmir Satılık Daire,Dikili Satılık Daire,Çandarlı Mahallesi Satılık Daire,55 M2,1+1,0 (Yeni),2,1.Kat,Klimalı,Krediye Uygun
15157914,"3,850,000",İzmir Satılık Daire,Dikili Satılık Daire,Çandarlı Mahallesi Satılık Daire,125 M2,3+1,0 (Yeni),3,2.Kat,Klimalı,Krediye Uygun
15157937,"1,875,000",İzmir Satılık Daire,Buca Satılık Daire,Kozağaç Mahallesi Satılık Daire,55 M2,1+1,0 (Yeni),4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15157956,"3,200,000",İzmir Satılık Daire,Karabağlar Satılık Daire,Esenlik Mahallesi Satılık Daire,95 M2,2+1,0 (Yeni),5,2.Kat,Doğalgaz Sobalı,Krediye Uygun
,,,,,,,,,,,
15161383,"2,500,000",İzmir Satılık Daire,Buca Satılık Daire,Barış Mahallesi Satılık Daire,91 M2,2+1,21 Ve Üzeri,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15161913,"3,600,000",İzmir Satılık Daire,Bayraklı Satılık Daire,Körfez Mahallesi Satılık Daire,70 M2,2+1,5-10,6,5.Kat,Yerden Isıtma,Krediye Uygun
15154705,"1,190,000",İzmir Satılık Daire,Buca Satılık Daire,Adatepe Mahallesi Satılık Daire,31 M2,Stüdyo,5-10,3,Kot 1 (-1).Kat,Klimalı,Krediye Uygun
15158163,"2,250,000",İzmir Satılık Daire,Bergama Satılık Daire,Atatürk Mahallesi Satılık Daire,80 M2,2+1,0 (Yeni),4,Yüksek Giriş,Yerden Isıtma,Krediye Uygun
15155218,"2,850,000",İzmir Satılık Daire,Karabağlar Satılık Daire,Ali Fuat Cebesoy Mahallesi Satılık Daire,130 M2,3+1,3,3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15157842,"1,785,000",İzmir Satılık Daire,Buca Satılık Daire,Kozağaç Mahallesi Satılık Daire,55 M2,1+1,0 (Yeni),4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15155317,"3,500,000",İzmir Satılık Daire,Çiğli Satılık Daire,Balatçık Mahallesi Satılık Daire,150 M2,3+1,5-10,7,5.Kat,Kombi Doğalgaz,Krediye Uygun
15158153,"1,560,000",İzmir Satılık Daire,Buca Satılık Daire,Atatürk Mahallesi Satılık Daire,65 M2,1+1,4,4,3.Kat,Kombi Doğalgaz,Krediye Uygun
15154640,"3,000,000",İzmir Satılık Daire,Karşıyaka Satılık Daire,Şemikler Mahallesi Satılık Daire,83 M2,2+1,1,4,1.Kat,Kombi Doğalgaz,Bilinmiyor
15155308,"4,100,000",İzmir Satılık Daire,Balçova Satılık Daire,Onur Mahallesi Satılık Daire,160 M2,4+0,21 Ve Üzeri,4,Düz Giriş (Zemin),Isıtma Yok,Krediye Uygun
15155235,"2,200,000",İzmir Satılık Daire,Karşıyaka Satılık Daire,Tuna Mahallesi Satılık Daire,90 M2,2+1,21 Ve Üzeri,4,4.Kat,Kombi Doğalgaz,Krediye Uygun
15152060,"12,000,000",İzmir Satılık Daire,Urla Satılık Daire,Camiatik Mahallesi Satılık Daire,105 M2,4+1,21 Ve Üzeri,2,Müstakil,Kat Kaloriferi,Krediye Uygun Değil
15152145,"1,900,000",İzmir Satılık Daire,Menemen Satılık Daire,Ulus Mahallesi Satılık Daire,80 M2,2+1,0 (Yeni),4,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15155512,"4,990,000",İzmir Satılık Daire,Menemen Satılık Daire,30 Ağustos Mahallesi Satılık Daire,131 M2,3+1,5-10,6,4.Kat,Merkezi Doğalgaz,Krediye Uygun
15151799,"4,750,000",İzmir Satılık Daire,Konak Satılık Daire,Piri Reis Mahallesi Satılık Daire,130 M2,4+1,21 Ve Üzeri,7,3.Kat,Kombi Doğalgaz,Krediye Uygun
15152596,"4,850,000",İzmir Satılık Daire,Urla Satılık Daire,Yaka Mahallesi Satılık Daire,96 M2,2+1,21 Ve Üzeri,2,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15152751,"2,300,000",İzmir Satılık Daire,Torbalı Satılık Daire,Torbalı Mahallesi Satılık Daire,130 M2,3+1,4,4,3.Kat,Kombi Doğalgaz,Krediye Uygun
